,,
G.Rzepiennik Strzyżewski              ,6820,
G.Skrzyszów                           ,13684,
G.Tarnów                              ,24541,
M-W.Tuchów                              ,18064,
G.Wierzchosławice                     ,10629,
G.Wietrzychowice                      ,4093,
M-W.Wojnicz                             ,13239,
M-W.Zakliczyn                           ,12380,
M-W.Żabno                               ,19037,
G.Szerzyny                            ,8063,
,,
pow. tatrzański               ,67640,
M.Zakopane                            ,27879,
G.Biały Dunajec                       ,7050,
G.Bukowina Tatrzańska                 ,12970,
G.Kościelisko                         ,8494,
G.Poronin                             ,11247,
,,
pow. wadowicki                ,158354,
M-W.Andrychów                           ,43891,
G.Brzeźnica                           ,9976,
M-W.Kalwaria Zebrzydowska               ,19755,
G.Lanckorona                          ,6138,
G.Mucharz                             ,3990,
G.Spytkowice                          ,10121,
G.Stryszów                            ,6796,
G.Tomice                              ,7700,
M-W.Wadowice                            ,38017,
G.Wieprz                              ,11970,
,,
pow. wielicki                 ,115356,
G.Biskupice                           ,9347,
G.Gdów                                ,17203,
G.Kłaj                                ,10440,
M-W.Niepołomice                         ,24689,
M-W.Wieliczka                           ,53677,
,,
M. Kraków                              ,759137,
,,
M. Nowy Sącz                           ,84325,
,,
M. Tarnów                              ,113593,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
